dataset,window_length,window_label,model,r2_mean,has_anomaly
CY-Bench Maize (Zambia),3,2007-2009,Random Forest,-0.2901069947364847,False
CY-Bench Maize (Zambia),3,2007-2009,Ridge,-0.2239352033273667,False
CY-Bench Maize (Zambia),3,2007-2009,XGBoost,-0.6337991859591852,False
CY-Bench Maize (Zambia),3,2008-2010,Random Forest,0.0041649804489002,False
CY-Bench Maize (Zambia),3,2008-2010,Ridge,0.1309172819267641,False
CY-Bench Maize (Zambia),3,2008-2010,XGBoost,-0.2459582928596838,False
CY-Bench Maize (Zambia),3,2009-2011,Random Forest,0.2460825021437202,False
CY-Bench Maize (Zambia),3,2009-2011,Ridge,0.265289978809488,False
CY-Bench Maize (Zambia),3,2009-2011,XGBoost,0.134601951353797,False
CY-Bench Maize (Zambia),3,2010-2012,Random Forest,0.0629051735198608,True
CY-Bench Maize (Zambia),3,2010-2012,Ridge,0.0507548619402516,True
CY-Bench Maize (Zambia),3,2010-2012,XGBoost,-0.0732020795186419,True
CY-Bench Maize (Zambia),3,2011-2013,Random Forest,0.1376717579920728,True
CY-Bench Maize (Zambia),3,2011-2013,Ridge,0.1409697429595291,True
CY-Bench Maize (Zambia),3,2011-2013,XGBoost,0.0544034224761741,True
CY-Bench Maize (Zambia),3,2012-2014,Random Forest,-0.091683286039464,True
CY-Bench Maize (Zambia),3,2012-2014,Ridge,0.0311189472163561,True
CY-Bench Maize (Zambia),3,2012-2014,XGBoost,-0.1611397419122383,True
CY-Bench Maize (Zambia),3,2013-2015,Random Forest,0.2213648175651311,True
CY-Bench Maize (Zambia),3,2013-2015,Ridge,0.2619585479453486,True
CY-Bench Maize (Zambia),3,2013-2015,XGBoost,0.1111793152875125,True
CY-Bench Maize (Zambia),3,2014-2016,Random Forest,0.2619383037048295,True
CY-Bench Maize (Zambia),3,2014-2016,Ridge,0.1997664248898853,True
CY-Bench Maize (Zambia),3,2014-2016,XGBoost,0.2550907417466208,True
CY-Bench Maize (Zambia),3,2015-2017,Random Forest,0.3574206047419936,False
CY-Bench Maize (Zambia),3,2015-2017,Ridge,0.4237288498072143,False
CY-Bench Maize (Zambia),3,2015-2017,XGBoost,0.2817871443693159,False
CY-Bench Maize (Zambia),2,2006-2007,Random Forest,0.16079284773565639,False
CY-Bench Maize (Zambia),2,2006-2007,Ridge,0.2493515221116236,False
CY-Bench Maize (Zambia),2,2006-2007,XGBoost,0.048579063996818585,False
CY-Bench Maize (Zambia),2,2007-2008,Random Forest,-0.37386508738588947,False
CY-Bench Maize (Zambia),2,2007-2008,Ridge,-0.2620771041992147,False
CY-Bench Maize (Zambia),2,2007-2008,XGBoost,-0.872516059771348,False
CY-Bench Maize (Zambia),2,2008-2009,Random Forest,-0.5866177405622306,False
CY-Bench Maize (Zambia),2,2008-2009,Ridge,-0.3151333280387139,False
